CMDLINE /usr/bin/python heap.py
MEM 18.203125 1515784049.7122
MEM 18.488281 1515784049.8125
MEM 19.515625 1515784049.9130
MEM 19.515625 1515784050.0134
MEM 19.515625 1515784050.1139
MEM 19.515625 1515784050.2144
MEM 19.515625 1515784050.3148
MEM 19.515625 1515784050.4153
MEM 19.515625 1515784050.5158
MEM 19.515625 1515784050.6162
MEM 19.515625 1515784050.7166
MEM 19.515625 1515784050.8171
MEM 18.367188 1515784050.9175
MEM 18.464844 1515784051.0179
MEM 18.464844 1515784051.1184
MEM 18.464844 1515784051.2189
MEM 18.464844 1515784051.3194
MEM 18.464844 1515784051.4198
MEM 18.464844 1515784051.5203
MEM 18.464844 1515784051.6207
MEM 18.464844 1515784051.7212
MEM 18.464844 1515784051.8217
MEM 18.464844 1515784051.9221
MEM 18.464844 1515784052.0224
MEM 18.367188 1515784052.1228
MEM 18.464844 1515784052.2233
MEM 18.464844 1515784052.3238
MEM 18.464844 1515784052.4242
MEM 18.464844 1515784052.5247
MEM 18.464844 1515784052.6252
MEM 18.464844 1515784052.7256
MEM 18.464844 1515784052.8261
MEM 18.464844 1515784052.9265
MEM 18.464844 1515784053.0270
MEM 18.464844 1515784053.1275
MEM 18.464844 1515784053.2279
MEM 19.425781 1515784053.3282
MEM 18.699219 1515784053.4287
MEM 18.699219 1515784053.5292
MEM 18.699219 1515784053.6296
MEM 18.699219 1515784053.7300
MEM 18.699219 1515784053.8305
MEM 18.699219 1515784053.9310
MEM 18.699219 1515784054.0315
MEM 18.699219 1515784054.1320
MEM 18.699219 1515784054.2325
MEM 18.699219 1515784054.3329
MEM 18.492188 1515784054.4333
MEM 18.207031 1515784054.5337
MEM 18.207031 1515784054.6342
MEM 18.207031 1515784054.7347
MEM 18.207031 1515784054.8352
MEM 18.207031 1515784054.9357
MEM 18.207031 1515784055.0362
MEM 18.207031 1515784055.1367
MEM 18.207031 1515784055.2371
MEM 18.207031 1515784055.3376
MEM 18.207031 1515784055.4380
MEM 18.207031 1515784055.5384
MEM 18.492188 1515784055.6387
MEM 19.519531 1515784055.7392
MEM 19.519531 1515784055.8397
MEM 19.519531 1515784055.9401
MEM 19.519531 1515784056.0406
MEM 19.519531 1515784056.1411
MEM 19.519531 1515784056.2415
MEM 19.519531 1515784056.3420
MEM 19.519531 1515784056.4424
MEM 19.519531 1515784056.5429
MEM 19.519531 1515784056.6434
MEM 19.519531 1515784056.7438
MEM 18.210938 1515784056.8441
MEM 18.210938 1515784056.9446
MEM 18.210938 1515784057.0450
MEM 18.210938 1515784057.1455
MEM 18.210938 1515784057.2459
MEM 18.210938 1515784057.3463
MEM 18.210938 1515784057.4468
MEM 18.210938 1515784057.5472
MEM 18.210938 1515784057.6477
MEM 18.210938 1515784057.7482
MEM 18.210938 1515784057.8486
MEM 18.496094 1515784057.9489
MEM 18.304688 1515784058.0492
MEM 18.304688 1515784058.1496
MEM 18.304688 1515784058.2501
MEM 18.304688 1515784058.3505
MEM 18.304688 1515784058.4510
MEM 18.304688 1515784058.5515
MEM 18.304688 1515784058.6519
MEM 18.304688 1515784058.7523
MEM 18.304688 1515784058.8528
MEM 18.304688 1515784058.9533
MEM 18.304688 1515784059.0537
MEM 18.496094 1515784059.1541
MEM 18.300781 1515784059.2546
MEM 18.300781 1515784059.3550
MEM 18.300781 1515784059.4556
MEM 18.300781 1515784059.5560
MEM 18.300781 1515784059.6565
MEM 18.300781 1515784059.7569
MEM 18.300781 1515784059.8574
MEM 18.300781 1515784059.9579
MEM 18.300781 1515784060.0583
MEM 18.300781 1515784060.1588
MEM 18.492188 1515784060.2592
MEM 19.519531 1515784060.3596
MEM 19.519531 1515784060.4601
MEM 19.519531 1515784060.5605
MEM 19.519531 1515784060.6610
MEM 19.519531 1515784060.7615
MEM 19.519531 1515784060.8620
MEM 19.519531 1515784060.9624
MEM 19.519531 1515784061.0629
MEM 19.519531 1515784061.1635
MEM 19.519531 1515784061.2639
MEM 19.519531 1515784061.3643
MEM 18.468750 1515784061.4647
MEM 18.660156 1515784061.5651
MEM 18.660156 1515784061.6656
MEM 18.660156 1515784061.7662
MEM 18.660156 1515784061.8665
MEM 18.660156 1515784061.9669
MEM 18.660156 1515784062.0672
MEM 18.660156 1515784062.1677
MEM 18.660156 1515784062.2681
MEM 18.660156 1515784062.3685
MEM 18.660156 1515784062.4690
MEM 18.660156 1515784062.5693
MEM 19.765625 1515784062.6698
MEM 18.414062 1515784062.7703
MEM 18.414062 1515784062.8707
MEM 18.414062 1515784062.9711
MEM 18.414062 1515784063.0717
MEM 18.414062 1515784063.1721
MEM 18.414062 1515784063.2725
MEM 18.414062 1515784063.3729
MEM 18.414062 1515784063.4734
MEM 18.414062 1515784063.5738
MEM 18.414062 1515784063.6743
MEM 18.605469 1515784063.7746
MEM 18.613281 1515784063.8751
MEM 18.613281 1515784063.9756
MEM 18.613281 1515784064.0760
MEM 18.613281 1515784064.1765
MEM 18.613281 1515784064.2769
MEM 18.613281 1515784064.3774
MEM 18.613281 1515784064.4779
MEM 18.613281 1515784064.5783
MEM 18.613281 1515784064.6788
MEM 18.613281 1515784064.7792
MEM 18.613281 1515784064.8797
MEM 18.613281 1515784064.9800
MEM 18.449219 1515784065.0804
MEM 18.449219 1515784065.1809
MEM 18.449219 1515784065.2814
MEM 18.449219 1515784065.3819
MEM 18.449219 1515784065.4823
MEM 18.449219 1515784065.5828
MEM 18.449219 1515784065.6832
MEM 18.449219 1515784065.7837
MEM 18.449219 1515784065.8841
MEM 18.449219 1515784065.9846
MEM 19.734375 1515784066.0850
MEM 19.476562 1515784066.1855
MEM 19.476562 1515784066.2860
MEM 19.476562 1515784066.3864
MEM 19.476562 1515784066.4868
MEM 19.476562 1515784066.5873
MEM 19.476562 1515784066.6876
MEM 19.476562 1515784066.7879
MEM 19.476562 1515784066.8883
MEM 19.476562 1515784066.9886
MEM 19.476562 1515784067.0889
MEM 19.476562 1515784067.1893
MEM 18.425781 1515784067.2896
MEM 18.617188 1515784067.3899
MEM 18.617188 1515784067.4903
MEM 18.617188 1515784067.5908
MEM 18.617188 1515784067.6913
MEM 18.617188 1515784067.7918
MEM 18.617188 1515784067.8922
MEM 18.617188 1515784067.9927
MEM 18.617188 1515784068.0931
MEM 18.617188 1515784068.1936
MEM 18.617188 1515784068.2941
MEM 18.617188 1515784068.3945
MEM 18.328125 1515784068.4948
MEM 18.515625 1515784068.5953
MEM 18.515625 1515784068.6958
MEM 18.515625 1515784068.7962
MEM 18.515625 1515784068.8966
MEM 18.515625 1515784068.9971
MEM 18.515625 1515784069.0975
MEM 18.515625 1515784069.1980
MEM 18.515625 1515784069.2984
MEM 18.515625 1515784069.3988
MEM 18.515625 1515784069.4992
MEM 18.515625 1515784069.5995
MEM 18.328125 1515784069.6999
MEM 18.515625 1515784069.8003
MEM 18.515625 1515784069.9007
MEM 18.515625 1515784070.0012
MEM 18.515625 1515784070.1016
MEM 18.515625 1515784070.2020
MEM 18.515625 1515784070.3025
MEM 18.515625 1515784070.4029
MEM 18.515625 1515784070.5033
MEM 18.515625 1515784070.6037
MEM 18.515625 1515784070.7041
MEM 18.324219 1515784070.8045
MEM 18.515625 1515784070.9049
MEM 18.515625 1515784071.0054
MEM 18.515625 1515784071.1058
MEM 18.515625 1515784071.2063
MEM 18.515625 1515784071.3068
MEM 18.515625 1515784071.4073
MEM 18.515625 1515784071.5077
MEM 18.515625 1515784071.6082
MEM 18.515625 1515784071.7087
MEM 18.515625 1515784071.8091
MEM 18.515625 1515784071.9094
MEM 18.257812 1515784072.0099
MEM 18.542969 1515784072.1104
MEM 18.542969 1515784072.2109
MEM 18.542969 1515784072.3114
MEM 18.542969 1515784072.4119
MEM 18.542969 1515784072.5123
MEM 18.542969 1515784072.6128
MEM 18.542969 1515784072.7133
MEM 18.542969 1515784072.8137
MEM 18.542969 1515784072.9142
MEM 18.542969 1515784073.0147
MEM 18.542969 1515784073.1150
MEM 19.187500 1515784073.2154
MEM 18.445312 1515784073.3159
MEM 18.445312 1515784073.4164
MEM 18.445312 1515784073.5169
MEM 18.445312 1515784073.6173
MEM 18.445312 1515784073.7178
MEM 18.445312 1515784073.8183
MEM 18.445312 1515784073.9187
MEM 18.445312 1515784074.0192
MEM 18.445312 1515784074.1197
MEM 18.445312 1515784074.2202
MEM 19.472656 1515784074.3205
MEM 18.347656 1515784074.4210
MEM 18.347656 1515784074.5215
MEM 18.347656 1515784074.6219
MEM 18.347656 1515784074.7224
MEM 18.347656 1515784074.8229
MEM 18.347656 1515784074.9233
MEM 18.347656 1515784075.0238
MEM 18.347656 1515784075.1242
MEM 18.347656 1515784075.2247
MEM 18.347656 1515784075.3251
MEM 18.347656 1515784075.4255
MEM 18.539062 1515784075.5258
MEM 18.234375 1515784075.6263
MEM 18.234375 1515784075.7268
MEM 18.234375 1515784075.8271
MEM 18.234375 1515784075.9276
MEM 18.234375 1515784076.0281
MEM 18.234375 1515784076.1285
MEM 18.234375 1515784076.2290
MEM 18.234375 1515784076.3295
MEM 18.234375 1515784076.4299
MEM 18.234375 1515784076.5304
MEM 19.003906 1515784076.6307
MEM 19.546875 1515784076.7311
MEM 19.546875 1515784076.8316
MEM 19.546875 1515784076.9320
MEM 19.546875 1515784077.0325
MEM 19.546875 1515784077.1330
MEM 19.546875 1515784077.2333
MEM 19.546875 1515784077.3338
MEM 19.546875 1515784077.4343
MEM 19.546875 1515784077.5348
MEM 19.546875 1515784077.6352
MEM 19.546875 1515784077.7357
MEM 18.398438 1515784077.8360
MEM 18.589844 1515784077.9364
MEM 18.589844 1515784078.0369
MEM 18.589844 1515784078.1374
MEM 18.589844 1515784078.2379
